shift,chi2
9,2174.900072
3,46221.730306
2,85041.775207
95,88361.671249
88,100939.929792
12,104295.093112
89,108280.304794
8,116713.267686
92,118671.695138
93,121980.064420
86,128251.771113
94,129425.099658
91,133104.459836
85,138094.211904
1,148376.864990
87,157196.170196
82,167859.269619
90,174066.264770
6,192876.239139
81,205680.577716
7,218181.147348
77,219602.080683
0,224815.539635
80,232917.735348
67,240867.425079
73,257950.137243
72,274813.763620
79,283373.611838
64,288038.113905
78,323137.006924
76,332395.200221
11,332480.921148
71,333110.125698
63,353259.500919
66,369986.474888
57,372092.047262
68,381995.619508
83,388169.349856
52,389982.770058
70,417431.712348
53,429960.112874
65,443030.974600
84,455125.492257
61,472660.872866
60,497117.730272
55,497508.062068
54,514413.601264
62,517957.833684
69,533143.090878
56,559101.073596
96,578002.931238
5,585583.768043
58,600032.690461
46,695112.031454
74,696705.297773
75,734806.588893
50,839870.606945
47,905346.587796
51,992406.161100
10,993311.214196
40,998202.074640
13,1004990.910608
49,1063877.701871
44,1067044.484562
48,1092890.358473
15,1093344.092610
17,1093906.522529
59,1122710.509536
43,1128357.591850
45,1139179.433278
14,1369631.550453
41,1460354.457758
31,1471063.997624
16,1575375.497385
34,1600977.681446
35,1663407.467795
29,1688387.418325
4,1725254.448439
39,1733205.484459
32,1939975.958173
36,1966337.112692
25,2198980.359615
26,2330448.860560
30,2421622.705735
37,2465747.853432
33,2703039.304997
20,3160790.160768
18,3198277.996523
22,3475789.096743
28,3759193.022746
42,3966562.502265
38,4258705.556796
21,4714162.916414
23,4961696.492187
24,4991628.063512
27,5023321.280388
19,5371276.381227
