char,ord,freq,cumfreq
 ,32,0.15231888,0.15231888
о,1086,0.06964232,0.22196120
е,1077,0.06070021,0.28266141
а,1072,0.05736587,0.34002728
н,1085,0.05001516,0.39004244
и,1080,0.04440740,0.43444983
т,1090,0.03842073,0.47287057
в,1074,0.03296453,0.50583510
с,1089,0.03273719,0.53857229
р,1088,0.02826614,0.56683844
л,1083,0.02720521,0.59404365
к,1082,0.02091543,0.61495908
e,101,0.02053653,0.63549560
",",44,0.01917248,0.65466808
м,1084,0.01909670,0.67376478
д,1076,0.01780843,0.69157320
п,1087,0.01636860,0.70794180
я,1103,0.01621704,0.72415884
у,1091,0.01530767,0.73946651
.,46,0.01371628,0.75318278
з,1079,0.01288269,0.76606547
ы,1099,0.01189754,0.77796302
ь,1100,0.01151864,0.78948166
г,1075,0.01151864,0.80100030
ч,1095,0.01091240,0.81191270
б,1073,0.01045771,0.82237042
s,115,0.01007881,0.83244923
"
",10,0.00886632,0.84131555
a,97,0.00879054,0.85010609
й,1081,0.00871476,0.85882085
o,111,0.00810852,0.86692937
i,105,0.00803274,0.87496211
t,116,0.00803274,0.88299485
r,114,0.00780540,0.89080024
u,117,0.00735071,0.89815095
n,110,0.00704759,0.90519855
ж,1078,0.00697181,0.91217035
—,8212,0.00591088,0.91808124
ш,1096,0.00583510,0.92391634
l,108,0.00568354,0.92959988
ю,1102,0.00538042,0.93498030
m,109,0.00492574,0.93990603
х,1093,0.00431949,0.94422552
p,112,0.00401637,0.94824189
c,99,0.00394059,0.95218248
v,118,0.00356169,0.95574416
ц,1094,0.00348590,0.95923007
d,100,0.00333434,0.96256441
1,49,0.00234920,0.96491361
 ,8239,0.00219764,0.96711125
2,50,0.00212186,0.96923310
?,63,0.00197029,0.97120339
é,233,0.00181873,0.97302213
щ,1097,0.00174295,0.97476508
э,1101,0.00174295,0.97650803
f,102,0.00166717,0.97817520
ф,1092,0.00159139,0.97976660
',39,0.00151561,0.98128221
-,45,0.00151561,0.98279782
q,113,0.00128827,0.98408609
j,106,0.00121249,0.98529858
b,98,0.00113671,0.98643528
h,104,0.00098515,0.98742043
z,122,0.00098515,0.98840558
(,40,0.00090937,0.98931494
),41,0.00090937,0.99022431
à,224,0.00075781,0.99098212
g,103,0.00060624,0.99158836
5,53,0.00060624,0.99219460
6,54,0.00060624,0.99280085
9,57,0.00060624,0.99340709
8,56,0.00053046,0.99393756
0,48,0.00053046,0.99446802
7,55,0.00053046,0.99499848
3,51,0.00053046,0.99552895
!,33,0.00053046,0.99605941
ê,234,0.00045468,0.99651410
4,52,0.00045468,0.99696878
è,232,0.00045468,0.99742346
x,120,0.00037890,0.99780236
:,58,0.00030312,0.99810549
y,121,0.00030312,0.99840861
ъ,1098,0.00022734,0.99863595
k,107,0.00022734,0.99886329
/,47,0.00015156,0.99901485
û,251,0.00015156,0.99916641
©,169,0.00015156,0.99931798
	,9,0.00015156,0.99946954
«,171,0.00007578,0.99954532
»,187,0.00007578,0.99962110
ô,244,0.00007578,0.99969688
;,59,0.00007578,0.99977266
î,238,0.00007578,0.99984844
́,769,0.00007578,0.99992422
@,64,0.00007578,1.00000000
ё,1105,0.00000000,1.00000000
"""",34,0.00000000,1.00000000
